Week,Title,Date,#,Lecture,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey
,,Fri 5/1,,Midterm Exam covers Lectures 1-12,,,,,,,,
6,Confidence Intervals and the Normal Distribution,Mon 5/4,14,Bootstrapping and Confidence Intervals,CIT 13.0-13.2,https://inferentialthinking.com/chapters/13/Estimation.html,"inference, bootstrapping, resample, np.percentile, confidence interval",Midterm Project,"6. Sampling, Bootstrapping, and Confidence Intervals",,,
,,Wed 5/6,15,"Confidence Intervals, Center, and Spread",CIT 13.3-13.4,https://inferentialthinking.com/chapters/13/3/Confidence_Intervals.html,"interpreting CIs, robust vs. sensitive, center, standard deviation",,,,,
,,Thu 5/7,,,,,,,,"4. Simulation, Sampling, & Bootstrapping",,
,,Fri 5/8,16,Standardization and the Normal Distribution,CIT 14.2-14.3,https://inferentialthinking.com/chapters/14/2/Variability.html,"Chebyshev, standard units, normal distribution, CDF, inflection points",,,,,
7,Central Limit Theorem,Mon 5/11,17,The Central Limit Theorem,CIT 14.4-14.5,https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html,"distribution of the sample mean, square root law, CLT-based CIs","4. Simulation, Sampling, & Bootstrapping",7. The Normal Distribution and the CLT,,,
,,Wed 5/13,18,"Choosing Sample Sizes, Statistical Models","CIT 14.6, 11.1","https://inferentialthinking.com/chapters/14/6/Choosing_a_Sample_Size.html, https://inferentialthinking.com/chapters/11/1/Assessing_a_Model.html","standard deviation of 0s and 1s, np.random.multinomial, Robert Swain jury",,,,,
,,Thu 5/14,,,,,,,,5. Variability and the Normal Distribution,,
,,Fri 5/15,19,Hypothesis Testing,CIT 11.3,https://inferentialthinking.com/chapters/11/3/Decisions_and_Uncertainty.html,"null and alternative hypotheses, test statistic, fair or unfair coin",,,,,
,,,,,,,#N/A,5. The Normal Distribution and the Central Limit Theorem,,,,
8,Hypothesis and Permutation Testing,Mon 5/18,20,Hypothesis Testing and Total Variation Distance,"CIT 11.2, 11.4","https://inferentialthinking.com/chapters/11/2/Multiple_Categories.html, https://inferentialthinking.com/chapters/11/4/Error_Probabilities.html","fair or unfair coin, p-value, midterm exam scores, Alameda County jury, TVD",,8. Hypothesis Testing and Permutation Testing,,,
,,Wed 5/20,21,"TVD, Hypothesis Testing, and Permutation Testing",CIT 12.0-12.1,https://inferentialthinking.com/chapters/12/Comparing_Two_Samples.html,"confidence intervals for hypothesis testing, body temperature, smoking/babies",,,,3. Quiz 3 covers Lectures 13-17,
,,Thu 5/21,,,,,,,,6. Hypothesis Testing,,
,,Fri 5/22,22,Permutation Testing,CIT 12.3,https://inferentialthinking.com/chapters/12/3/Deflategate.html,"smoking/babies, np.random.permutation, shuffling, Deflategate",,,,,
9,Prediction,Mon 5/25,,No Lecture (Memorial Day),,,,6. Hypothesis Testing and Permutation Testing,,,,
,,Wed 5/27,23,Correlation,CIT 15.0-15.2,https://inferentialthinking.com/chapters/15/Prediction.html,"association, correlation coefficient (r), predicting heights, regression line (su)",,,,4. Quiz 4 covers Lectures 18-21,
,,Fri 5/29,24,Regression and Least Squares,CIT 15.2-15.4,https://inferentialthinking.com/chapters/15/2/Regression_Line.html,"regression line in original units, outliers, errors, RMSE, best fit, least squares",,,,,
10,Review,Mon 6/1,25,Residuals and Inference,CIT 15.5-16.3,https://inferentialthinking.com/chapters/15/5/Visual_Diagnostics.html,"residuals, residual plots, patterns, datasaurus dozen, prediction intervals",,9. Regression,7. Regression,,
,,Wed 6/3,,Review,,,,Final Project,,,,
,,Fri 6/5,,"Review, Conclusion",,,,,,,,
,,Sat 6/6,,Final Exam (3-6PM),,,,,,,,SETs and End-of-Quarter Survey (due 8AM)
